Project Name,Type,Sector,Sub-Sector,Location,Project Authority,Status,Total Project Cost (in Rs Crore),Date Of Award
Bimlagarh-Dumitra DC Railway Line Project,Government Infrastructure Projects (Traditional Procurement),Transport,"Railway track, tunnel, viaducts, bridges",Jharkhand,South Eastern Railway,Under Construction,131.00,Not Available
Bina Dispatch Terminal,Government Infrastructure Projects (Traditional Procurement),Energy,Oil/ Gas/ LNG Storage,Madhya Pradesh,Bharat Petroleum Corporation Limited,Completed,490.00,Not Available
Bina-Kota Railway Line Electrification Project,Government Infrastructure Projects (Traditional Procurement),Transport,"Railway track, tunnel, viaducts, bridges",Rajasthan,West Central Railway,Under Construction,199.00,Not Available
Biomass Based Power (Bhiwani) Project,Government Infrastructure Projects (Traditional Procurement),Energy,Renewable energy (grid),Haryana,Haryana Renewable Energy Development Agency,Completed,58.00,20-Feb-2007
Biomass Based Power (Burj Baghel Singh) Project,Government Infrastructure Projects (Traditional Procurement),Energy,Renewable energy (grid),Punjab,Turboatom TPS Project Limited,Under Construction,126.00,Not Available
Biomass Based Power (Jhabua) Project,Government Infrastructure Projects (Traditional Procurement),Energy,Renewable energy (grid),Madhya Pradesh,Jabua Green Power Private Limited,Under Construction,50.00,Not Available
Biomass Based Power (Jhok Tehal Singh) Project,Government Infrastructure Projects (Traditional Procurement),Energy,Renewable energy (grid),Punjab,Turboatom TPS Project Limited,Under Construction,63.00,Not Available
Biomass Based Power (Ludhiana) Project,Government Infrastructure Projects (Traditional Procurement),Energy,Renewable energy (grid),Punjab,Purab Infrastructure Projects Limited,Under Construction,98.00,Not Available
Biomass Based Power (Mohindergarh) Project,Government Infrastructure Projects (Traditional Procurement),Energy,Renewable energy (grid),Haryana,Haryana Renewable Energy Development Agency,Completed,64.00,20-Feb-2007
Biomass Based Power (Moulabhanja) Project,Government Infrastructure Projects (Traditional Procurement),Energy,Renewable energy (grid),Odisha,Balrampur Chini Mills Limited,Completed,60.00,Not Available
Biomass Power (Kolhapur) Project,Government Infrastructure Projects (Traditional Procurement),Energy,Renewable energy (grid),Maharashtra,Orient Green Power Limited,Completed,100.00,Not Available
Biomass Power (Sarasanapalli) Project,Government Infrastructure Projects (Traditional Procurement),Energy,Renewable energy (grid),Andhra Pradesh,KVR Power Projects India Ltd.,Under Construction,53.00,Not Available
Biomass Power (Sathyamangalam) Project,Government Infrastructure Projects (Traditional Procurement),Energy,Renewable energy (grid),Tamil Nadu,Saradha Papers and Boards Private Limited,Completed,85.00,Not Available
Biomass Power (SBS Nagar) Project,Government Infrastructure Projects (Traditional Procurement),Energy,Renewable energy (grid),Punjab,Nawanshahr Cooperative Sugar Mills Limited,Under Construction,70.00,Not Available
Biomass Power (Ujjain) Project,Government Infrastructure Projects (Traditional Procurement),Energy,Renewable energy (grid),Madhya Pradesh,Shriji Power Ujjain Private Limited,Completed,50.00,Not Available
Boinchi-Shaktigarh Third DL Railway Line,Government Infrastructure Projects (Traditional Procurement),Transport,"Railway track, tunnel, viaducts, bridges",West Bengal,Eastern Railway,Under Construction,176.00,Not Available
BokaroSC-Muri-Bondamunda-Kiriburu/Barsua & Purulia-Kotshila Electrification,Government Infrastructure Projects (Traditional Procurement),Transport,"Railway track, tunnel, viaducts, bridges",Multi State/ Centre,South Eastern Railway,Completed,280.62,Not Available
Bongaigaon Coal Based Power Project,Government Infrastructure Projects (Traditional Procurement),Energy,Electricity generation (grid),Assam,NTPC Limited,Under Construction,"6,749.18",29-Feb-2008
Bowaichandi-Arambagh Railway Line Project,Government Infrastructure Projects (Traditional Procurement),Transport,"Railway track, tunnel, viaducts, bridges",West Bengal,South Eastern Railway,Under Construction,267.00,Not Available
Bridge (Chennai-Trichy-Dindigul Road) Project,Government Infrastructure Projects (Traditional Procurement),Transport,Roads and bridges,Tamil Nadu,"Public Works Department, Tamil Nadu",Under Construction,62.53,06-Nov-2013
Bridge (Ennore Creek-Kathivakkam) Project,Government Infrastructure Projects (Traditional Procurement),Transport,Roads and bridges,Tamil Nadu,"Public Works Department, Tamil Nadu",Completed,52.66,29-Oct-2010
Bridge (Gokulpur-Midnapur) Project,Government Infrastructure Projects (Traditional Procurement),Transport,Roads and bridges,West Bengal,South Eastern Railway,Under Construction,52.00,Not Available
Bridge (Graminchira-Parechal-Thiruvathukkal) Project,Government Infrastructure Projects (Traditional Procurement),Transport,Roads and bridges,Kerala,"Public Works Department, Kerala",Under Construction,53.96,02-Jul-2013
Bridge (Kannangattu-Willington Island) Project,Government Infrastructure Projects (Traditional Procurement),Transport,Roads and bridges,Kerala,"Public Works Department, Kerala",Under Construction,72.55,10-Nov-2014
Bridge (Kuduchi-Ugarkhurd No.184) Project - Rebuilding,Government Infrastructure Projects (Traditional Procurement),Transport,Roads and bridges,Karnataka,South Western Railway,Under Construction,58.35,Not Available
Bridge (Mughaisarai) Project,Government Infrastructure Projects (Traditional Procurement),Transport,Roads and bridges,Uttar Pradesh,East Central Railway,Under Construction,231.00,Not Available
Bridge (No.1017) Project,Government Infrastructure Projects (Traditional Procurement),Transport,"Railway track, tunnel, viaducts, bridges",Andhra Pradesh,South Central Railway,Under Construction,Not Available,Not Available
Bridge (No.531) Project,Government Infrastructure Projects (Traditional Procurement),Transport,"Railway track, tunnel, viaducts, bridges",Bihar,East Central Railway,Under Construction,310.00,Not Available
Bridge (Tuticorin) Project,Government Infrastructure Projects (Traditional Procurement),Transport,Roads and bridges,Tamil Nadu,National Highways Authority of India (NHAI),Under Construction,Not Available,Not Available
Bridges (Baleshwar-Chandikhole Section) NH-5 Project,Government Infrastructure Projects (Traditional Procurement),Transport,Roads and bridges,Odisha,National Highways Authority of India (NHAI),Completed,155.00,Not Available
Bridges Section (Visakhapatnam-Vijayawada) NH-5 Project,Government Infrastructure Projects (Traditional Procurement),Transport,Roads and bridges,Andhra Pradesh,National Highways Authority of India (NHAI),Completed,136.00,Not Available
BRR Vamsadhara Project Phase - II,Government Infrastructure Projects (Traditional Procurement),Water Sanitation,"Irrigation (dams, channels, embankments, etc.)",Andhra Pradesh,"Water Resources Department, Andhra Pradesh",Under Construction,492.82,17-Mar-2005
Brundamal-Jharsuguda DL Railway Line Project,Government Infrastructure Projects (Traditional Procurement),Transport,"Railway track, tunnel, viaducts, bridges",Odisha,East Coast Railway,Under Construction,88.00,Not Available
Bus Rapid Transit System (Ultadanga-Garia),Government Infrastructure Projects (Traditional Procurement),Transport,Urban public transport (except rolling stock),West Bengal,Kolkata Metropolitan Development Authority,Under Construction,252.91,16-Jun-2010
Bus Stand Property (Gandhi Road),Government Infrastructure Projects (PPP),Transport,Urban public transport (except rolling stock),Uttarakhand,Uttarakhand Transport Corporation,Under Construction,25.00,28-Jan-2015
Bypass (Chittaurgarh) Road Project,Government Infrastructure Projects (Traditional Procurement),Transport,Roads and bridges,Rajasthan,National Highways Authority of India (NHAI),Completed,170.00,Not Available
Bypass (Indore NH-3) Road Project,Government Infrastructure Projects (Traditional Procurement),Transport,Roads and bridges,Madhya Pradesh,National Highways Authority of India (NHAI),Completed,264.85,Not Available
Bypass (Sagar) Project (ADB-II/C-5),Government Infrastructure Projects (Traditional Procurement),Transport,Roads and bridges,Madhya Pradesh,National Highways Authority of India (NHAI),Completed,151.30,Not Available
Bypass (Srinagar) Road Project,Government Infrastructure Projects (Traditional Procurement),Transport,Roads and bridges,Jammu & Kashmir,National Highways Authority of India (NHAI),Completed,Not Available,Not Available
Byrnihat-Shillong Railway Line Project,Government Infrastructure Projects (Traditional Procurement),Transport,"Railway track, tunnel, viaducts, bridges",Meghalaya,Northeast Frontier Railway,Under Construction,"4,083.00",Not Available
Calicut-Mangalore DC Railway Line Project,Government Infrastructure Projects (Traditional Procurement),Transport,"Railway track, tunnel, viaducts, bridges",Multi State/ Centre,Southern Railway,Under Construction,621.36,Not Available
Capital Dredging (Ennore) Project,Government Infrastructure Projects (Traditional Procurement),Transport,Ports (excluding captive),Tamil Nadu,Kamarajar Port Limited,Completed,91.00,Not Available
Capital Dredging (Ennore) Project [Phase - 2A],Government Infrastructure Projects (Traditional Procurement),Transport,Ports (excluding captive),Tamil Nadu,Kamarajar Port Limited,Under Construction,206.00,Not Available
Capital Dredging (Kandla) Project,Government Infrastructure Projects (Traditional Procurement),Transport,Ports (excluding captive),Gujarat,Kandla Port Trust,Under Construction,80.00,Not Available
Capital Dredging (Kochi) Project,Government Infrastructure Projects (Traditional Procurement),Transport,Ports (excluding captive),Kerala,Cochin Port Trust,Under Construction,Not Available,Not Available
Capital Dredging for ICTT,Government Infrastructure Projects (Traditional Procurement),Transport,Ports (excluding captive),Kerala,Cochin Port Trust,Completed,Not Available,Not Available
Captive Power (Angul) Project - Unit VII,Government Infrastructure Projects (Traditional Procurement),Energy,Electricity generation (grid),Odisha,National Aluminium Company Limited,Completed,267.00,Not Available
Captive Power (Bhilai) Project,Government Infrastructure Projects (Traditional Procurement),Energy,Electricity generation (grid),Chhattisgarh,Steel Authority of India Limited,Completed,Not Available,Not Available
Captive Power (Karikkali) Project,Government Infrastructure Projects (Traditional Procurement),Energy,Electricity generation (grid),Tamil Nadu,Chettinad Cement Corporation Limited,Completed,150.00,Not Available
Captive Power (Manali) Project,Government Infrastructure Projects (Traditional Procurement),Energy,Electricity generation (grid),Tamil Nadu,Chennai Petroleum Corporation Limited,Completed,174.00,Not Available
Captive Power (Manali) Project - Expansion,Government Infrastructure Projects (Traditional Procurement),Energy,Electricity generation (grid),Tamil Nadu,Chennai Petroleum Corporation Limited,Under Construction,158.00,Not Available
Cargo Berth (Ennore) Project,Government Infrastructure Projects (Traditional Procurement),Transport,Ports (excluding captive),Tamil Nadu,Kamarajar Port Limited,Completed,Not Available,Not Available
Cargo Berths (Kandla) Project - Modernisation,Government Infrastructure Projects (Traditional Procurement),Transport,Ports (excluding captive),Gujarat,Kandla Port Trust,Under Construction,200.00,Not Available
Chainsa-Gurgaon Gas Pipeline Project,Government Infrastructure Projects (Traditional Procurement),Energy,Gas pipelines,Haryana,GAIL (India) Limited,Completed,67.00,Not Available
Chainsa-Gurgaon-Jhajjar-Hissar Gas Pipeline Project,Government Infrastructure Projects (Traditional Procurement),Energy,Gas pipelines,Multi State/ Centre,GAIL (India) Limited,Under Construction,"1,315.00",Not Available
Chainsa-Sultanpur-Neemrana Gas Pipeline Project,Government Infrastructure Projects (Traditional Procurement),Energy,Gas pipelines,Multi State/ Centre,GAIL (India) Limited,Completed,710.00,Not Available
Chamera III/ Hibra Hydel Power Project,Government Infrastructure Projects (Traditional Procurement),Energy,Renewable energy (grid),Himachal Pradesh,NHPC Limited,Completed,"1,727.58",Not Available
Champa-Saragbundia Railway Line,Government Infrastructure Projects (Traditional Procurement),Transport,"Railway track, tunnel, viaducts, bridges",Chhattisgarh,South East Central Railway,Completed,55.00,Not Available
Champajharan-Bimlagarh DL Railway Line Project,Government Infrastructure Projects (Traditional Procurement),Transport,"Railway track, tunnel, viaducts, bridges",Odisha,South Eastern Railway,Under Construction,177.00,Not Available
Champavati-Vishakhapatnam-Ankapalli Section (NH-5),Government Infrastructure Projects (Traditional Procurement),Transport,Roads and bridges,Andhra Pradesh,National Highways Authority of India (NHAI),Completed,Not Available,Not Available
Chandigarh-Baddi Railway Line Project,Government Infrastructure Projects (Traditional Procurement),Transport,"Railway track, tunnel, viaducts, bridges",Multi State/ Centre,Northern Railway,Under Construction,328.00,Not Available
Chandigarh-Ludhiana BG Railway Line Project,Government Infrastructure Projects (Traditional Procurement),Transport,"Railway track, tunnel, viaducts, bridges",Multi State/ Centre,Northern Railway,Completed,"1,100.00",Not Available
Chandil-Muri-Barkakana Railway Line Electrification Project,Government Infrastructure Projects (Traditional Procurement),Transport,"Railway track, tunnel, viaducts, bridges",Jharkhand,West Central Railway,Under Construction,Not Available,Not Available
Chandrapura-Rajabera-Bhandaridah DC Railway Line Project,Government Infrastructure Projects (Traditional Procurement),Transport,"Railway track, tunnel, viaducts, bridges",Jharkhand,East Central Railway,Under Construction,Not Available,Not Available
Channel Deepening (Paradip) Project,Government Infrastructure Projects (Traditional Procurement),Transport,Ports (excluding captive),Odisha,Paradip Port Trust,Under Construction,253.00,Not Available
Channel Deepening Project,Government Infrastructure Projects (Traditional Procurement),Transport,Ports (excluding captive),Gujarat,Kandla Port Trust,Completed,238.00,Not Available
Chapra-Ekma DL Railway Line Project,Government Infrastructure Projects (Traditional Procurement),Transport,"Railway track, tunnel, viaducts, bridges",Bihar,North Eastern Railway,Under Construction,Not Available,Not Available
Chaskaman Irrigation Project,Government Infrastructure Projects (Traditional Procurement),Water Sanitation,"Irrigation (dams, channels, embankments, etc.)",Maharashtra,Maharashtra Krishna Valley Development Corporation,Under Construction,"1,460.00",15-Dec-1973
Chengalpattu-Villupuram-Tiruvannamalai DC Railway Line Project,Government Infrastructure Projects (Traditional Procurement),Transport,"Railway track, tunnel, viaducts, bridges",Tamil Nadu,Southern Railway,Under Construction,709.00,Not Available
Chennai Beach-Attipattu Fourth Railway Line,Government Infrastructure Projects (Traditional Procurement),Transport,"Railway track, tunnel, viaducts, bridges",Tamil Nadu,Southern Railway,Under Construction,102.00,Not Available
Chennai Beach-Korukkupet Third Railway Line,Government Infrastructure Projects (Traditional Procurement),Transport,"Railway track, tunnel, viaducts, bridges",Tamil Nadu,Southern Railway,Under Construction,Not Available,Not Available
Chennai Beach-Tambaram-Tiruchchirappali GC Railway Line,Government Infrastructure Projects (Traditional Procurement),Transport,"Railway track, tunnel, viaducts, bridges",Tamil Nadu,Southern Railway,Under Construction,Not Available,Not Available
Chennai Central-Egmore Railway Line,Government Infrastructure Projects (Traditional Procurement),Transport,"Railway track, tunnel, viaducts, bridges",Tamil Nadu,Southern Railway,Completed,93.00,Not Available
Chennai MRTS Phase II,Government Infrastructure Projects (Traditional Procurement),Transport,Urban public transport (except rolling stock),Tamil Nadu,Southern Railway,Completed,735.00,Not Available
Chennai-Bangalore Product Pipeline,Government Infrastructure Projects (Traditional Procurement),Energy,Oil pipelines,Multi State/ Centre,Indian Oil Corporation Limited,Completed,300.00,Not Available
Chennai-Cuddalore Railway Line Project,Government Infrastructure Projects (Traditional Procurement),Transport,"Railway track, tunnel, viaducts, bridges",Tamil Nadu,Southern Railway,Under Construction,"1,200.00",Not Available
Chennai-Trichy-Madurai Product Pipeline Project,Government Infrastructure Projects (Traditional Procurement),Energy,Oil pipelines,Tamil Nadu,Indian Oil Corporation Limited,Completed,380.00,Not Available
Cheppad-Haripad DL Railway Line Project,Government Infrastructure Projects (Traditional Procurement),Transport,"Railway track, tunnel, viaducts, bridges",Kerala,Southern Railway,Under Construction,63.00,Not Available
Chhapra-Hajipur DL Railway Line,Government Infrastructure Projects (Traditional Procurement),Transport,"Railway track, tunnel, viaducts, bridges",Bihar,East Central Railway,Under Construction,192.00,Not Available
Chhapra-Muzaffarpur Railway Line Project,Government Infrastructure Projects (Traditional Procurement),Transport,"Railway track, tunnel, viaducts, bridges",Bihar,East Central Railway,Under Construction,379.00,Not Available
Chhindwara-Nagpur GC Railway Line Project,Government Infrastructure Projects (Traditional Procurement),Transport,"Railway track, tunnel, viaducts, bridges",Multi State/ Centre,South East Central Railway,Under Construction,586.00,Not Available
Chhitauni-Tumkuhi Railway Line Project,Government Infrastructure Projects (Traditional Procurement),Transport,"Railway track, tunnel, viaducts, bridges",Uttar Pradesh,Northern Railway,Under Construction,244.00,Not Available
Chhota Udepur-Pratapnagar GC Railway Line,Government Infrastructure Projects (Traditional Procurement),Transport,"Railway track, tunnel, viaducts, bridges",Gujarat,Western Railway,Under Construction,248.00,Not Available
Chhotaudepur-Dhar BG Railway Line Project,Government Infrastructure Projects (Traditional Procurement),Transport,"Railway track, tunnel, viaducts, bridges",Multi State/ Centre,Western Railway,Completed,570.00,Not Available
Chilhewadi Medium Project,Government Infrastructure Projects (Traditional Procurement),Water Sanitation,"Irrigation (dams, channels, embankments, etc.)",Maharashtra,Maharashtra Krishna Valley Development Corporation,Under Construction,194.22,06-Aug-1997
Chindwara-Mandla GC Railway Line Project,Government Infrastructure Projects (Traditional Procurement),Transport,"Railway track, tunnel, viaducts, bridges",Madhya Pradesh,North Western Railway,Under Construction,738.00,Not Available
Chinganur-Chingavanam DL Railway Line Project,Government Infrastructure Projects (Traditional Procurement),Transport,"Railway track, tunnel, viaducts, bridges",Kerala,Southern Railway,Under Construction,223.00,Not Available
Chinpai-Sainthia GC Railway Line Project,Government Infrastructure Projects (Traditional Procurement),Transport,"Railway track, tunnel, viaducts, bridges",West Bengal,East Central Railway,Under Construction,Not Available,Not Available
Chintalapudi Lift Irrigation Scheme,Government Infrastructure Projects (Traditional Procurement),Water Sanitation,"Irrigation (dams, channels, embankments, etc.)",Andhra Pradesh,"Water Resources Department, Andhra Pradesh",Under Construction,"1,700.57",27-Feb-2009
Chitpur Railway Terminal Project,Government Infrastructure Projects (Traditional Procurement),Transport,"Railway track, tunnel, viaducts, bridges",West Bengal,Eastern Railway,Completed,78.00,Not Available
Chitradurg-Rayadurg BG Railway Line,Government Infrastructure Projects (Traditional Procurement),Transport,"Railway track, tunnel, viaducts, bridges",Karnataka,National Highways Authority of India (NHAI),Under Construction,Not Available,Not Available
Choramba Biomass Power Project,Government Infrastructure Projects (Traditional Procurement),Energy,Renewable energy (grid),Maharashtra,Vidarbha Energy and Infrastructure Private Limited,Under Construction,71.00,Not Available
Churah Valley Hydel Power Project,Government Infrastructure Projects (Traditional Procurement),Energy,Renewable energy (grid),Himachal Pradesh,Shri Bajrang Power and Ispat Limited,Under Construction,450.00,Not Available
Churchgate-Borivali Railway Line Electrification Project,Government Infrastructure Projects (Traditional Procurement),Transport,"Railway track, tunnel, viaducts, bridges",Maharashtra,Mumbai Railway Vikas Corporation Limited,Completed,57.00,Not Available
Chutak Hydel Power Project,Government Infrastructure Projects (Traditional Procurement),Energy,Renewable energy (grid),Jammu & Kashmir,NHPC Limited,Completed,947.10,25-Sep-2006
City Gas Distribution (Hyderabad & Vijayawada) Project,Government Infrastructure Projects (Traditional Procurement),Energy,City gas distribution,Multi State/ Centre,Bhagyanagar Gas Limited,Under Construction,Not Available,Not Available
Civil Air Terminal (Nal) Project,Government Infrastructure Projects (Traditional Procurement),Transport,Airports,Rajasthan,Airports Authority of India (AAI),Completed,Not Available,Not Available
Co-generation Power (Haldia) Project,Government Infrastructure Projects (Traditional Procurement),Energy,Electricity generation (grid),West Bengal,Indian Oil Corporation Limited,Completed,Not Available,Not Available
Co-generation Power (Uran) Project,Government Infrastructure Projects (Traditional Procurement),Energy,Electricity generation (grid),Maharashtra,Oil and Natural Gas Corporation Limited (ONGC),Completed,117.00,Not Available
Coal Based Power (Ankulapatur) Project - Phase I,Government Infrastructure Projects (Traditional Procurement),Energy,Electricity generation (grid),Andhra Pradesh,VSF Projects Limited,Under Construction,"1,920.00",Not Available
Coal Based Power (Hosahalli) Project,Government Infrastructure Projects (Traditional Procurement),Energy,Electricity generation (grid),Karnataka,Shantha Projects Limited,Under Construction,52.00,Not Available
Coal Based Power (Kachchh) Project,Government Infrastructure Projects (Traditional Procurement),Energy,Electricity generation (grid),Gujarat,OPG Power Gujarat Private Limited,Completed,"1,400.00",Not Available
Coal Based Power (Kolam) Project,Government Infrastructure Projects (Traditional Procurement),Energy,Electricity generation (grid),Chhattisgarh,Sarda Energy and Minerals Limited,Under Construction,"1,225.00",Not Available
Coal Based Power (Kothagudem) Project,Government Infrastructure Projects (Traditional Procurement),Energy,Electricity generation (grid),Telangana,Singareni Collieries Company Limited,Under Construction,Not Available,Not Available
Coal Based Power (Kuchidih) Project,Government Infrastructure Projects (Traditional Procurement),Energy,Electricity generation (grid),Jharkhand,Kohinoor Power Private Limited,Under Construction,349.00,Not Available
Coal Based Power (Kudgi) Project - Stage I,Government Infrastructure Projects (Traditional Procurement),Energy,Electricity generation (grid),Karnataka,NTPC Limited,Under Construction,"15,166.00",17-Feb-2012
Coal Based Power (Kudithini) Project,Government Infrastructure Projects (Traditional Procurement),Energy,Electricity generation (grid),Karnataka,Agarwal Sponge and Energy Private Limited,Completed,53.00,Not Available
Coal Based Power (Nagpur) Project,Government Infrastructure Projects (Traditional Procurement),Energy,Electricity generation (grid),Maharashtra,Suryalakshmi Cotton Mills,Completed,220.00,Not Available
Coal Based Power (Raigarh) Project - Phase I,Government Infrastructure Projects (Traditional Procurement),Energy,Electricity generation (grid),Chhattisgarh,Korba West Power Company Limited,Completed,"3,000.00",Not Available
Coal Based Power (Singroli) Project,Government Infrastructure Projects (Traditional Procurement),Energy,Electricity generation (grid),Madhya Pradesh,DB Power (Madhya Pradesh) Limited,Under Construction,"6,000.00",Not Available
Coal Handling Facility (Visakhapatnam),Government Infrastructure Projects (PPP),Transport,Ports (excluding captive),Andhra Pradesh,Visakhapatnam Port Trust,Operation and Maintenance Stage,675.00,10-Jun-2010
Cogeneration power project,Government Infrastructure Projects (Traditional Procurement),Energy,Electricity generation (grid),Maharashtra,Shree Renuka Sugars Limited,Under Construction,96.58,25-May-2012
Cogeneration power project (Solapur),Government Infrastructure Projects (Traditional Procurement),Energy,Electricity generation (grid),Maharashtra,Maharashtra Energy Development Agency,Under Construction,105.84,04-Aug-2014
Cold Chain Facility (Maharashtra),Government Infrastructure Projects (Traditional Procurement),Social and Commercial Infrastructure,Cold Chain,Maharashtra,Tirupati Balaji Agro Products Private Limited,Under Construction,50.41,05-Dec-2014
Commercial Centre at Chinchwad,Government Infrastructure Projects (PPP),Social and Commercial Infrastructure,"Common infrastructure for industrial parks, SEZ",Maharashtra,Pimpri Chinchwad Municipal Corporation,Under Construction,20.94,Not Available
Common Effluent Treatment Plant (Palsana),Government Infrastructure Projects (Traditional Procurement),Water Sanitation,Water treatment plants,Gujarat,New Palsana Industrial Co-operative Society Limited,Completed,80.70,Not Available
Common Effluent Treatment Plant (Ranchi),Government Infrastructure Projects (Traditional Procurement),Water Sanitation,Water treatment plants,Jharkhand,Jharkhand Mega Food Park Private Limited,Under Construction,114.00,Not Available
Concentrated Solar Thermal Power (Raipur) Project,Government Infrastructure Projects (Traditional Procurement),Energy,Renewable energy (grid),Chhattisgarh,South Asian Agro Industries Limited,Completed,100.00,Not Available
Consruction of 197 Bus-Q-Shelters in NDMC area,Government Infrastructure Projects (PPP),Transport,Urban public transport (except rolling stock),Delhi (UT),New Delhi Municipal Council,Operation and Maintenance Stage,15.00,Not Available
Construction of a New Multi-purpose Berth (Berth No. 18) for handling general cargo & containers at NMPT,Government Infrastructure Projects (Traditional Procurement),Transport,Ports (excluding captive),Karnataka,New Mangalore Port Trust,Under Construction,137.44,28-Oct-2013
Construction of Gurgaon Recreation Park,Government Infrastructure Projects (PPP),Social and Commercial Infrastructure,"Common infrastructure for industrial parks, SEZ",Haryana,Haryana State Industrial and Infrastructure Development Corporation,Under Construction,71.00,Not Available
Construction of POL Berth No. 13,Government Infrastructure Projects (Traditional Procurement),Transport,Ports (excluding captive),Karnataka,New Mangalore Port Trust,Completed,76.08,09-Dec-2010
Container Depot,Government Infrastructure Projects (Traditional Procurement),Transport,Ports (excluding captive),Rajasthan,Container Corporation of India Limited,Completed,Not Available,Not Available
Convention Centre (North Nagpur),Government Infrastructure Projects (Traditional Procurement),Social and Commercial Infrastructure,"Common infrastructure for industrial parks, SEZ",Maharashtra,Nagpur Improvement Trust,Under Construction,83.58,20-Jun-2015
Crude Oil Pipeline (Mundra-Panipat) Project - Augmentation,Government Infrastructure Projects (Traditional Procurement),Energy,Oil pipelines,Multi State/ Centre,Indian Oil Corporation Limited,Completed,204.00,Not Available
Crude Oil Pipeline (Paradip-Haldia-Barauni) Project - Augmentation,Government Infrastructure Projects (Traditional Procurement),Energy,Oil pipelines,Multi State/ Centre,Indian Oil Corporation Limited,Under Construction,586.00,Not Available
Crude Oil Pipeline Project,Government Infrastructure Projects (Traditional Procurement),Energy,Oil pipelines,Maharashtra,Mumbai Port Trust,Completed,270.00,Not Available
Crude Pipeline (Amod-Hazira) Project,Government Infrastructure Projects (Traditional Procurement),Energy,Oil pipelines,Gujarat,Indian Oil Corporation Limited,Completed,97.00,Not Available
Crude Pipeline (Bina-Kota) Project,Government Infrastructure Projects (Traditional Procurement),Energy,Oil pipelines,Multi State/ Centre,Bharat Petroleum Corporation Limited,Completed,405.82,Not Available
Cuddalore-Vridhachallam-Salem GC Railway Line,Government Infrastructure Projects (Traditional Procurement),Transport,"Railway track, tunnel, viaducts, bridges",Tamil Nadu,Southern Railway,Under Construction,Not Available,Not Available
Cuttack-Barang DL Railway Line,Government Infrastructure Projects (Traditional Procurement),Transport,"Railway track, tunnel, viaducts, bridges",Odisha,Rail Vikas Nigam Limited,Under Construction,200.00,Not Available
Cuttack-Paradip Railway Line Electrification Project,Government Infrastructure Projects (Traditional Procurement),Transport,"Railway track, tunnel, viaducts, bridges",Odisha,East Coast Railway,Under Construction,Not Available,Not Available
Cyberpark (Kozhikode) Project,Government Infrastructure Projects (Traditional Procurement),Social and Commercial Infrastructure,"Common infrastructure for industrial parks, SEZ",Kerala,"Cyberpark, Kozhikode",Under Construction,112.07,30-Oct-2013
Dabhol-Bangalore Gas Pipeline Project,Government Infrastructure Projects (Traditional Procurement),Energy,Gas pipelines,Multi State/ Centre,GAIL (India) Limited,Completed,"5,000.00",Not Available
Dabhol-Panvel Pipeline Project,Government Infrastructure Projects (Traditional Procurement),Energy,Gas pipelines,Maharashtra,GAIL (India) Limited,Completed,"1,326.00",Not Available
Dadri Power Project Stage II,Government Infrastructure Projects (Traditional Procurement),Energy,Electricity generation (grid),Delhi (UT),NTPC Limited,Completed,"5,596.40",Not Available
Dadri-Bawana-Nangal Gas Pipeline Project,Government Infrastructure Projects (Traditional Procurement),Energy,Gas pipelines,Multi State/ Centre,GAIL (India) Limited,Completed,"2,200.00",Not Available
Dadri-Panipat Gas Pipeline Project,Government Infrastructure Projects (Traditional Procurement),Energy,Gas pipelines,Multi State/ Centre,GAIL (India) Limited,Completed,298.00,Not Available
Dahej-Bijaipur Gas Pipeline Project,Government Infrastructure Projects (Traditional Procurement),Energy,Gas pipelines,Multi State/ Centre,GAIL (India) Limited,Completed,"2,936.00",Not Available
Dahej-Hazira-Uran Pipeline Project,Government Infrastructure Projects (Traditional Procurement),Energy,Gas pipelines,Multi State/ Centre,GAIL (India) Limited,Completed,"1,416.00",Not Available
Dahod-Indore BG Railway Line Project,Government Infrastructure Projects (Traditional Procurement),Transport,"Railway track, tunnel, viaducts, bridges",Multi State/ Centre,Western Railway,Under Construction,"1,640.00",Not Available
Daitari-Keonjhar-Banspani SL Railway Line,Government Infrastructure Projects (Traditional Procurement),Transport,"Railway track, tunnel, viaducts, bridges",Odisha,East Coast Railway,Completed,367.10,Not Available
Dalkola Bypass Project,Government Infrastructure Projects (Traditional Procurement),Transport,Roads and bridges,West Bengal,National Highways Authority of India (NHAI),Under Construction,67.00,Not Available
Dalkola-Kishanganj DL Railway Line,Government Infrastructure Projects (Traditional Procurement),Transport,"Railway track, tunnel, viaducts, bridges",Multi State/ Centre,Northeast Frontier Railway,Completed,50.00,Not Available
Dallirajahara-Jagdalpur SL Railway Line,Government Infrastructure Projects (Traditional Procurement),Transport,"Railway track, tunnel, viaducts, bridges",Chhattisgarh,South East Central Railway,Under Construction,"1,105.00",Not Available
Dankuni-Bhattanagar DL Railway Line Project,Government Infrastructure Projects (Traditional Procurement),Transport,"Railway track, tunnel, viaducts, bridges",West Bengal,Eastern Railway,Under Construction,60.25,Not Available
Dankuni-Chandanpur Fourth Railway Line Project,Government Infrastructure Projects (Traditional Procurement),Transport,"Railway track, tunnel, viaducts, bridges",West Bengal,Eastern Railway,Under Construction,288.00,Not Available
Darbhanga-Kusheshwar Asthan Railway Line Project,Government Infrastructure Projects (Traditional Procurement),Transport,"Railway track, tunnel, viaducts, bridges",Bihar,East Central Railway,Under Construction,205.00,Not Available
